Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
Not Applicable: Standalone Property,10466,BRONX BOULEVARD,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10466,BRONX BOULEVARD,Bronx,Multifamily Housing,1965,Whole Building,Yes
Not Applicable: Standalone Property,11377,SKILLMAN AVENUE,Queens,Multifamily Housing,1942,Whole Building,No
Not Applicable: Standalone Property,10467,BRONX BOULEVARD,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10466,BRONX BOULEVARD,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10466,CARPENTER AVENUE,Bronx,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10001,BRONX BOULEVARD,Bronx,Hospital (General Medical & Surgical),1957,Whole Building,No
Not Applicable: Standalone Property,10466,CARPENTER AVENUE,Bronx,Multifamily Housing,1928,Whole Building,No
Not Applicable: Standalone Property,10466,CARPENTER AVENUE,Bronx,Multifamily Housing,1949,Whole Building,No
Not Applicable: Standalone Property,10460,CARPENTER AVENUE,Bronx,Multifamily Housing,1927,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 230 STREET,Bronx,Multifamily Housing,1940,Whole Building,No
Not Applicable: Standalone Property,10466,CARPENTER AVENUE,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10466,CARPENTER AVENUE,Bronx,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 231 STREET,Bronx,Multifamily Housing,1922,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 231 STREET,Bronx,Multifamily Housing,1941,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 232 STREET,Bronx,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10466,EAST 233 STREET,Bronx,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10451,EAST 233 STREET,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10466,BARNES AVENUE,Bronx,Multifamily Housing,1981,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 231 STREET,Bronx,Multifamily Housing,1957,Whole Building,Yes
Not Applicable: Standalone Property,10466,BARNES AVENUE,Bronx,Multifamily Housing,1927,Whole Building,No
Not Applicable: Standalone Property,10466,EAST 230 STREET,Bronx,Senior Care Community,1972,Whole Building,Yes
Not Applicable: Standalone Property,10466,BAYCHESTER AVENUE,Bronx,Hospital (General Medical & Surgical),1950,Whole Building,Yes
Not Applicable: Standalone Property,10466,NEEDHAM AVENUE,Bronx,K-12 School,1959,Whole Building,No
Not Applicable: Standalone Property,10001,EAST 233 STREET,Bronx,Parking,1993,Whole Building,Yes
Not Applicable: Standalone Property,10466,EAST 236 STREET,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10466,EAST 233 STREET,Bronx,Multifamily Housing,1964,Whole Building,No
Not Applicable: Standalone Property,10466,BRONX BOULEVARD,Bronx,Self-Storage Facility,2013,Whole Building,Yes
Not Applicable: Standalone Property,10470,NEREID AVENUE,Bronx,Multifamily Housing,1931,Whole Building,No
Not Applicable: Standalone Property,10453,FURMAN AVENUE,Bronx,Multifamily Housing,1931,Whole Building,No
Not Applicable: Standalone Property,10466,FURMAN AVENUE,Bronx,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10466,BAYCHESTER AVENUE,Bronx,Multifamily Housing,1964,Whole Building,Yes
Not Applicable: Standalone Property,10470,EAST 242 STREET,Bronx,Multifamily Housing,1933,Whole Building,Yes
Not Applicable: Standalone Property,10470,WHITE PLAINS ROAD,Bronx,Multifamily Housing,1965,Whole Building,No
Not Applicable: Standalone Property,10462,WHITE PLAINS ROAD,Bronx,Office,1905,Whole Building,No
Not Applicable: Standalone Property,10470,EAST 242 STREET,Bronx,Multifamily Housing,1931,Whole Building,No
Not Applicable: Standalone Property,10470,EAST 242 STREET,Bronx,Multifamily Housing,1940,Whole Building,No
Not Applicable: Standalone Property,10475,ERSKINE PLACE,Bronx,Multifamily Housing,1969,Whole Building,Yes
Not Applicable: Standalone Property,10475,EINSTEIN LOOP EAST,Bronx,Office,1969,Whole Building,Yes
Not Applicable: Standalone Property,10475,BAYCHESTER AVENUE,Bronx,Retail Store,1997,Whole Building,Yes
Not Applicable: Standalone Property,10475,BAYCHESTER AVENUE,Bronx,Other,1998,Whole Building,Yes
Not Applicable: Standalone Property,10475,BARTOW AVENUE,Bronx,Parking,1969,Whole Building,No
Not Applicable: Standalone Property,10475,BARTOW AVENUE,Bronx,Multifamily Housing,1969,Whole Building,No
Not Applicable: Standalone Property,10475,CO-OP CITY BOULEVARD,Bronx,Multifamily Housing,2012,Whole Building,Yes
Not Applicable: Standalone Property,10475,GIVAN AVENUE,Bronx,Supermarket/Grocery Store,1998,Whole Building,Yes
Not Applicable: Standalone Property,10475,DREISER LOOP,Bronx,Office,1969,Whole Building,No
Not Applicable: Standalone Property,10475,CARVER LOOP,Bronx,Office,1969,Whole Building,No
Not Applicable: Standalone Property,10475,CO-OP CITY BOULEVARD,Bronx,Office,1969,Whole Building,No
Not Applicable: Standalone Property,10027,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,2007,Whole Building,Yes
Not Applicable: Standalone Property,10475,GIVAN AVENUE,Bronx,Multifamily Housing,2011,Whole Building,Yes
Not Applicable: Standalone Property,10475,BAYCHESTER AVENUE,Bronx,Senior Care Community,1977,Whole Building,Yes
Not Applicable: Standalone Property,10475,TILLOTSON AVENUE,Bronx,Self-Storage Facility,2016,Whole Building,Yes
Not Applicable: Standalone Property,10475,BOSTON ROAD,Bronx,Retail Store,1973,Whole Building,Yes
Not Applicable: Standalone Property,10475,PINKNEY AVENUE,Bronx,Self-Storage Facility,2003,Whole Building,Yes
Not Applicable: Standalone Property,10465,BRUCKNER BOULEVARD,Bronx,Other,1983,Whole Building,Yes
Not Applicable: Standalone Property,10461,MIDDLETOWN ROAD,Bronx,Multifamily Housing,2012,Whole Building,No
Not Applicable: Standalone Property,10465,STADIUM AVENUE,Bronx,Multifamily Housing,1963,Whole Building,No
Not Applicable: Standalone Property,10465,STADIUM AVENUE,Bronx,Senior Care Community,1940,Whole Building,Yes
Not Applicable: Standalone Property,10465,THROGS NECK EXPWY SR,Bronx,Multifamily Housing,1977,Whole Building,Yes
Not Applicable: Standalone Property,10465,CROSS BRONX EP SR N,Bronx,Senior Care Community,1971,Whole Building,Yes
Not Applicable: Standalone Property,10465,SCHURZ AVENUE,Bronx,Senior Care Community,2002,Whole Building,No
Not Applicable: Standalone Property,10465,RANDALL AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10465,LONGSTREET AVENUE,Bronx,Multifamily Housing,1965,Whole Building,No
Not Applicable: Standalone Property,10465,LONGSTREET AVENUE,Bronx,Multifamily Housing,1965,Whole Building,Yes
Not Applicable: Standalone Property,10465,PENNYFIELD AVENUE,Bronx,Multifamily Housing,1998,Whole Building,Yes
Not Applicable: Standalone Property,10465,HUTCHINSON RVR PY SR,Bronx,Strip Mall,2013,Whole Building,Yes
Not Applicable: Standalone Property,10465,BRUSH AVENUE,Bronx,Distribution Center,1989,Whole Building,No
Not Applicable: Standalone Property,10465,BRUSH AVENUE,Bronx,Distribution Center,2009,Whole Building,Yes
Not Applicable: Standalone Property,10465,BRUSH AVENUE,Bronx,Non-Refrigerated Warehouse,1983,Whole Building,Yes
Not Applicable: Standalone Property,10464,PILOT STREET,Bronx,Multifamily Housing,1964,Whole Building,Yes
Not Applicable: Standalone Property,10464,PILOT STREET,Bronx,Multifamily Housing,1981,Whole Building,Yes
Not Applicable: Standalone Property,10466,BOSTON ROAD,Bronx,Non-Refrigerated Warehouse,1970,Whole Building,No
Not Applicable: Standalone Property,10463,GODWIN TERRACE,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1950,Whole Building,Yes
Not Applicable: Standalone Property,10463,GODWIN TERRACE,Bronx,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10463,GODWIN TERRACE,Bronx,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10463,NAPLES TERRACE,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,GODWIN TERRACE,Bronx,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10463,NAPLES TERRACE,Bronx,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 231 STREET,Bronx,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10463,GODWIN TERRACE,Bronx,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10463,CORLEAR AVENUE,Bronx,Multifamily Housing,2009,Whole Building,Yes
Not Applicable: Standalone Property,10463,CORLEAR AVENUE,Bronx,Other,2011,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 232 STREET,Bronx,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 231 STREET,Bronx,Senior Care Community,1975,Whole Building,Yes
Not Applicable: Standalone Property,10463,TIBBETT AVENUE,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1957,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1969,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1967,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1975,Whole Building,No
Not Applicable: Standalone Property,10463,KNOLLS CRESCENT,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10463,KNOLLS CRESCENT,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1950,Whole Building,No
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1983,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1960,Whole Building,No
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1964,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,1955,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10463,FAIRFIELD AVENUE,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 231 STREET,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10463,RIVERDALE AVENUE,Bronx,Multifamily Housing,1941,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1953,Whole Building,No
Not Applicable: Standalone Property,10463,FAIRFIELD AVENUE,Bronx,Multifamily Housing,1949,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Senior Care Community,1967,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1964,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1959,Whole Building,No
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1955,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10463,PALISADE AVENUE,Bronx,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1951,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1954,Whole Building,No
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,2013,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1934,Whole Building,Yes
Not Applicable: Standalone Property,10463,KAPPOCK STREET,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 231 STREET,Bronx,Senior Care Community,1936,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 233 STREET,Bronx,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 232 STREET,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 233 STREET,Bronx,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 233 STREET,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 232 STREET,Bronx,Multifamily Housing,1974,Whole Building,Yes
Not Applicable: Standalone Property,10463,RIVERDALE AVENUE,Bronx,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10463,IRWIN AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1964,Whole Building,No
Not Applicable: Standalone Property,10463,GREYSTONE AVENUE,Bronx,Multifamily Housing,1957,Whole Building,Yes
Not Applicable: Standalone Property,10463,KINGSBRIDGE AVENUE,Bronx,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 238 STREET,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Office,1987,Whole Building,Yes
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Multifamily Housing,1940,Whole Building,Yes
Not Applicable: Standalone Property,10463,GREYSTONE AVENUE,Bronx,Multifamily Housing,1940,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 238 STREET,Bronx,Multifamily Housing,1939,Whole Building,Yes
Not Applicable: Standalone Property,10463,FIELDSTON ROAD,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 238 STREET,Bronx,Multifamily Housing,1937,Whole Building,Yes
Not Applicable: Standalone Property,10471,MANHATTAN COLLEGE PY,Bronx,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10471,WEST 242 STREET,Bronx,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Parking,2009,Whole Building,Yes
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Multifamily Housing,1923,Whole Building,No
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,College/University,2014,Whole Building,Yes
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Multifamily Housing,2004,Whole Building,No
Not Applicable: Standalone Property,10463,WALDO AVENUE,Bronx,Residence Hall/Dormitory,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,GREYSTONE AVENUE,Bronx,Multifamily Housing,1951,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 240 STREET,Bronx,Multifamily Housing,1949,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 232 STREET,Bronx,Multifamily Housing,1937,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 235 STREET,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,CAMBRIDGE AVENUE,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,SYLVAN AVENUE,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1957,Whole Building,No
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1949,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1941,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1999,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10463,ARLINGTON AVENUE,Bronx,Multifamily Housing,1955,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1939,Whole Building,Yes
Not Applicable: Standalone Property,104712128,ARLINGTON AVENUE,Bronx,Multifamily Housing,2008,Whole Building,No
Not Applicable: Standalone Property,10463,FAIRFIELD AVENUE,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,1938,Whole Building,Yes
Not Applicable: Standalone Property,10463,ARLINGTON AVENUE,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 235 STREET,Bronx,Multifamily Housing,1936,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 236 STREET,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,OXFORD AVENUE,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,1955,Whole Building,Yes
Not Applicable: Standalone Property,10463,NETHERLAND AVENUE,Bronx,Multifamily Housing,1939,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 236 STREET,Bronx,Multifamily Housing,1910,Whole Building,Yes
Not Applicable: Standalone Property,10463,OXFORD AVENUE,Bronx,Multifamily Housing,2005,Whole Building,Yes
Not Applicable: Standalone Property,10463,OXFORD AVENUE,Bronx,Multifamily Housing,1967,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1932,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 238 STREET,Bronx,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 236 STREET,Bronx,Multifamily Housing,1939,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1954,Whole Building,No
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Senior Care Community,2000,Whole Building,Yes
Not Applicable: Standalone Property,10463,JOHNSON AVENUE,Bronx,Multifamily Housing,1955,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY E,Bronx,Multifamily Housing,1950,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10471,POST ROAD,Bronx,Residence Hall/Dormitory,1990,Whole Building,Yes
Not Applicable: Standalone Property,10471,MANHATTAN COLLEGE PY,Bronx,Residence Hall/Dormitory,2008,Whole Building,Yes
Not Applicable: Standalone Property,10471,CAYUGA AVENUE,Bronx,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10463,POST ROAD,Bronx,Multifamily Housing,1940,Whole Building,Yes
Not Applicable: Standalone Property,10471,WALDO AVENUE,Bronx,Senior Care Community,1928,Whole Building,Yes
Not Applicable: Standalone Property,10471,WEST 251 STREET,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1950,Whole Building,Yes
Not Applicable: Standalone Property,10471,FIELDSTON TERRACE,Bronx,Multifamily Housing,1965,Whole Building,Yes
Not Applicable: Standalone Property,10471,FIELDSTON TERRACE,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10471,POST ROAD,Bronx,Multifamily Housing,1964,Whole Building,No
Not Applicable: Standalone Property,10471,FIELDSTON ROAD,Bronx,Multifamily Housing,1939,Whole Building,Yes
Not Applicable: Standalone Property,10471,FIELDSTON ROAD,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10471,VALLES AVENUE,Bronx,Multifamily Housing,1965,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1974,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1961,Whole Building,No
Not Applicable: Standalone Property,10471,MOSHOLU AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1969,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Senior Care Community,1968,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10471,BROADWAY,Bronx,Multifamily Housing,1959,Whole Building,No
Not Applicable: Standalone Property,10471,RIVERDALE AVENUE,Bronx,Multifamily Housing,1959,Whole Building,No
Not Applicable: Standalone Property,10471,RIVERDALE AVENUE,Bronx,Multifamily Housing,1962,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1951,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 237 STREET,Bronx,Multifamily Housing,2006,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1952,Whole Building,Yes
Not Applicable: Standalone Property,10463,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1954,Whole Building,No
Not Applicable: Standalone Property,10463,WEST 239 STREET,Bronx,Multifamily Housing,1956,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1954,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 239 STREET,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10471,BLACKSTONE AVENUE,Bronx,Multifamily Housing,1963,Whole Building,Yes
Not Applicable: Standalone Property,10463,WEST 239 STREET,Bronx,Multifamily Housing,1954,Whole Building,No
Not Applicable: Standalone Property,10471,BLACKSTONE AVENUE,Bronx,Multifamily Housing,1959,Whole Building,No
Not Applicable: Standalone Property,10471,WEST 246 STREET,Bronx,Multifamily Housing,1958,Whole Building,Yes
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1953,Whole Building,No
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1953,Whole Building,Yes
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1951,Whole Building,Yes
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1961,Whole Building,Yes
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1963,Whole Building,No
Not Applicable: Standalone Property,10463,HUDSON MANOR TERRACE,Bronx,Multifamily Housing,1954,Whole Building,No
Not Applicable: Standalone Property,10463,HUDSON MANOR TERRACE,Bronx,Multifamily Housing,1955,Whole Building,No
Not Applicable: Standalone Property,10463,INDEPENDENCE AVENUE,Bronx,Multifamily Housing,1963,Whole Building,No
Not Applicable: Standalone Property,10463,HUDSON MANOR TERRACE,Bronx,Multifamily Housing,1963,Whole Building,Yes
Not Applicable: Standalone Property,10463,HUDSON MANOR TERRACE,Bronx,Multifamily Housing,1960,Whole Building,Yes
Not Applicable: Standalone Property,10463,DOUGLAS AVENUE,Bronx,Multifamily Housing,1969,Whole Building,Yes
Not Applicable: Standalone Property,10471,PALISADE AVENUE,Bronx,Multifamily Housing,1966,Whole Building,No
Not Applicable: Standalone Property,10471,PALISADE AVENUE,Bronx,Multifamily Housing,1986,Whole Building,No
Not Applicable: Standalone Property,10471,PALISADE AVENUE,Bronx,Multifamily Housing,1966,Whole Building,No
Not Applicable: Standalone Property,10471,PALISADE AVENUE,Bronx,Multifamily Housing,1980,Whole Building,Yes
Not Applicable: Standalone Property,10471,HENRY HUDSON PKWY W,Bronx,Multifamily Housing,1952,Whole Building,Yes
Not Applicable: Standalone Property,10471,NETHERLAND AVENUE,Bronx,Multifamily Housing,1941,Whole Building,Yes
Not Applicable: Standalone Property,10471,NETHERLAND AVENUE,Bronx,Multifamily Housing,1948,Whole Building,Yes
