Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
New York University: Washington Square,10012,BLEECKER STREET,Manhattan,Multifamily Housing,1966,Another configuration,Yes
New York University: Washington Square,10012,MERCER STREET,Manhattan,Residence Hall/Dormitory,1981,Whole Building,Yes
New York University: Washington Square,10012,WASHINGTON SQ VLLGE,Manhattan,Multifamily Housing,1959,Whole Building,No
New York University: Washington Square,10012,WASHINGTON SQ VLLGE,Manhattan,Multifamily Housing,1960,Whole Building,No
New York University: Washington Square,10012,WASHINGTON SQ VLLGE,Manhattan,Multifamily Housing,1960,Whole Building,Yes
New York University: Washington Square,10012,WEST 4 STREET,Manhattan,College/University,1992,Another configuration,Yes
New York University: Washington Square,10012,WEST 4 STREET,Manhattan,College/University,1896,Whole Building,No
New York University: Washington Square,10012,WEST 4 STREET,Manhattan,College/University,1972,Whole Building,Yes
New York University: Washington Square,10012,LA GUARDIA PLACE,Manhattan,Library,1972,Another configuration,don't know
New York University: Washington Square,10012,WEST 3 STREET,Manhattan,College/University,1966,Whole Building,Yes
New York University: Washington Square,10012,LA GUARDIA PLACE,Manhattan,Social/Meeting Hall,2001,Whole Building,Yes
New York University: Washington Square,10012,WASHINGTON SQUARE S,Manhattan,Social/Meeting Hall,2012,Whole Building,No
New York University: Washington Square,10012,MAC DOUGAL STREET,Manhattan,Residence Hall/Dormitory,1986,Whole Building,No
New York University: Washington Square,10012,WASHINGTON SQUARE S,Manhattan,Library,1951,Whole Building,Yes
New York University: Washington Square,10012,WASHINGTON SQUARE S,Manhattan,College/University,1895,Another configuration,No
New York University: Washington Square,10012,WEST 3 STREET,Manhattan,College/University,2001,Whole Building,Yes
New York University: Washington Square,10003,No street name,No borough,Residence Hall/Dormitory,1894,Another configuration,don't know
New York University: Washington Square,10003,WASHINGTON PLACE,Manhattan,College/University,1893,Whole Building,No
New York University: Washington Square,10003,WEST 4 STREET,Manhattan,College/University,1929,Another configuration,No
New York University: Washington Square,10012,WASHINGTON PLACE,Manhattan,College/University,1894,Whole Building,Yes
New York University: Washington Square,10012,WEST 4 STREET,Manhattan,College/University,1891,Whole Building,Yes
New York University: Washington Square,10003,WAVERLY PLACE,Manhattan,College/University,1895,Whole Building,No
New York University: Washington Square,10003,WAVERLY PLACE,Manhattan,College/University,1906,Whole Building,No
New York University: Washington Square,10003,WASHINGTON PLACE,Manhattan,College/University,1901,Another configuration,don't know
New York University: Washington Square,10003,No street name,No borough,College/University,2011,Another configuration,don't know
New York University: Washington Square,10003,BROADWAY,Manhattan,College/University,1896,Another configuration,No
New York University: Washington Square,10003,BROADWAY,Manhattan,College/University,1896,Another configuration,No
New York University: Washington Square,10003,UNIVERSITY PLACE,Manhattan,Residence Hall/Dormitory,1962,Whole Building,don't know
New York University: Washington Square,10003,UNIVERSITY PLACE,Manhattan,College/University,1896,Whole Building,No
New York University: Washington Square,10011,WASHINGTON SQUARE W,Manhattan,Residence Hall/Dormitory,1929,Whole Building,No
New York University: Washington Square,10012,WASHINGTON SQUARE W,Manhattan,Multifamily Housing,1928,Another configuration,don't know
New York University: Washington Square,10012,No street name,No borough,Multifamily Housing,1960,Whole Building,don't know
New York Eye & Ear Infirmary,10003,No street name,No borough,Hospital (General Medical & Surgical),1893,Whole Building,No
New York Eye & Ear Infirmary,10003,2 AVENUE,Manhattan,Medical Office,1893,Whole Building,don't know
New York Eye & Ear Infirmary,10003,2 AVENUE,Manhattan,Hospital (General Medical & Surgical),1969,Whole Building,Yes
435 W 119 and 434 W 120,10027,No street name,No borough,Other,1964,Whole Building,No
College of Mt St Vincent,10471,No street name,No borough,College/University,1848,Whole Building,Yes
College of Mt St Vincent,10471,WEST 261 STREET,Bronx,Residence Hall/Dormitory,1924,Whole Building,No
College of Mt St Vincent,10471,RIVERDALE AVENUE,Bronx,College/University,1848,Whole Building,don't know
College of Mt St Vincent,10471,No street name,No borough,College/University,1956,Whole Building,Yes
1 hoyt st,11201,No street name,No borough,Other,1925,Whole Building,Yes
1 hoyt st,11201,HOYT STREET,Brooklyn,Residence Hall/Dormitory,1925,Whole Building,don't know
601 W 112 and 600 W 113,10027,No street name,No borough,Other,1909,Whole Building,Yes
601 W 112 and 600 W 113,10027,BROADWAY,Manhattan,Multifamily Housing,1939,Whole Building,Yes
601 W 112 and 600 W 113,10027,BROADWAY,Manhattan,Residence Hall/Dormitory,1910,Whole Building,Yes
601 W 112 and 600 W 113,10027,BROADWAY,Manhattan,Multifamily Housing,1909,Whole Building,don't know
435 W 119 and 434 W 120,10027,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1964,Whole Building,don't know
435 W 119 and 434 W 120,10027,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1967,Whole Building,Yes
430 W 119 ET AL,10027,WEST 119 STREET,Manhattan,Multifamily Housing,1910,Whole Building,Yes
430 W 119 ET AL,10027,WEST 119 STREET,Manhattan,Multifamily Housing,1910,Whole Building,don't know
430 W 119 ET AL,10027,WEST 120 STREET,Manhattan,Multifamily Housing,1980,Whole Building,Yes
Manhattan Campus,10025,WEST 105 STREET,Manhattan,Senior Care Community,1915,Whole Building,Yes
"CubeSmart - 900 Atlantic Avenue, Brooklyn",11238,No street name,No borough,Self-Storage Facility,2009,Whole Building,Yes
"CubeSmart - 900 Atlantic Avenue, Brooklyn",11238,ATLANTIC AVENUE,Brooklyn,Self-Storage Facility,2009,Not Available,don't know
"CubeSmart - 900 Atlantic Avenue, Brooklyn",11238,No street name,No borough,Self-Storage Facility,2009,Not Available,don't know
Jacobs Academic Building,11201,JAY STREET,Brooklyn,College/University,2000,Whole Building,don't know
Jacobs Academic Building,11201,JAY STREET,Brooklyn,College/University,1930,Whole Building,don't know
"Bay Plaza Community Center, LLC",10475,BARTOW AVENUE,Bronx,Strip Mall,1987,Whole Building,No
"Bay Plaza Community Center, LLC",10475,No street name,No borough,Retail Store,2013,Not Available,No
"Bay Plaza Community Center, LLC",10475,BARTOW AVENUE,Bronx,Bank Branch,2004,Whole Building,No
"Bay Plaza Community Center, LLC",10475,BARTOW AVENUE,Bronx,Retail Store,2004,Whole Building,No
"Bay Plaza Community Center, LLC",10475,BARTOW AVENUE,Bronx,Bank Branch,2007,Whole Building,No
Amalgamated Warbasse Houses-Block 7250,11224,WEST 5 STREET,Brooklyn,Multifamily Housing,1965,Whole Building,No
Amalgamated Warbasse Houses-Block 7253,11224,OCEAN PARKWAY,Brooklyn,Multifamily Housing,1965,Whole Building,No
SHEEPSHEAD BAY 9 CAMPUS,11235,No street name,No borough,Movie Theater,2006,Whole Building,don't know
Jamaica Hospital Medical Center Campus,11418,No street name,No borough,Hospital (General Medical & Surgical),1987,Not Available,don't know
Jamaica Hospital Medical Center Campus,11418,No street name,No borough,Office,1978,Whole Building,No
Jamaica Hospital Medical Center Campus,11418,No street name,No borough,Hospital (General Medical & Surgical),1990,Whole Building,Yes
Jamaica Hospital Medical Center Campus,11418,No street name,No borough,Hospital (General Medical & Surgical),1987,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
DUNBAR OWNER LLC,10039,FREDRICK DOUGLASS BL,Manhattan,Multifamily Housing,1928,Whole Building,Yes
3091 - KINGS PLAZA SHOPPING CENTER,11234,No street name,No borough,Enclosed Mall,1970,Whole Building,Yes
3091 - KINGS PLAZA SHOPPING CENTER,11234,AVENUE U,Brooklyn,Enclosed Mall,1970,Not Available,Yes
3091 - KINGS PLAZA SHOPPING CENTER,11234,AVENUE U,Brooklyn,Enclosed Mall,1970,Not Available,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Not Available,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Third Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Whole Building,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Whole Building,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Whole Building,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Not Available,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Whole Building,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Not Available,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Not Available,Yes
First Housing Company Inc.,11365,JEWEL AVENUE,Queens,Multifamily Housing,1953,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Carol Gardens,10473,No street name,No borough,Multifamily Housing,1968,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,Yes
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,No
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,No
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,No
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,No
Second Housing Company Inc,11365,JEWEL AVENUE,Queens,Multifamily Housing,1955,Whole Building,No
